taxon_scientific_name,iucn_code,worms_id
Rhinobatos borneensis,EN,1022438
Rhynchobatus cooki,CR,1022441
Clupea manulensis,CR,1022749
Margarites manusensis,CR,1023678
Phymorhynchus oculatus,CR,1027229
Maculabatis arabica,CR,1042747
Maculabatis bineeshi,CR,1042748
Brevitrygon javaensis,EN,1042825
Fontitrygon colarensis,CR,1042836
Fontitrygon geijskesi,CR,1042837
Hemitrygon sinensis,EN,1042854
Hypanus marianae,EN,1042862
Hypanus rudis,CR,1042863
Maculabatis gerrardi,EN,1042867
Maculabatis pastinacoides,EN,1042868
Pateobatis uarnacoides,EN,1043412
Pateobatis bleekeri,EN,1043413
Urogymnus lobistoma,EN,1043414
Pateobatis jenkinsii,EN,1043418
Dentiraja confusa,CR,1043487
Pseudobatos percellens,EN,1043607
Rhynchorhina mauritaniensis,CR,1043636
Lirapex politus,CR,1047859
