aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
493304,Astrosphaera hexagonalis,Radiozoa,Polycystina,212,32,2011,2021,FALSE,FALSE,NA
397131,Macoma petalum,Mollusca,Bivalvia,338,32,1962,2003,FALSE,FALSE,NA
730482,Favartia macgintyi,Mollusca,Gastropoda,42,32,1940,1982,FALSE,FALSE,NA
130402,Nereis lamellosa,Annelida,Polychaeta,73,32,1975,1994,FALSE,FALSE,available
155928,Tarrhomyos luridus,Nemertea,Pilidiophora,85,32,1873,1982,FALSE,FALSE,NA
112990,Bolivina subaenariensis,Foraminifera,Globothalamea,88,32,1983,1997,FALSE,FALSE,available
328370,Heteromastus filobranchus,Annelida,Polychaeta,64,32,1970,2006,FALSE,FALSE,NA
280222,Clinocottus recalvus,Chordata,Teleostei,169,32,1930,2022,FALSE,FALSE,NA
730751,Paradoneis forticirrata,Annelida,Polychaeta,36,32,1976,2015,FALSE,FALSE,NA
158230,Diadumene leucolena,Cnidaria,Hexacorallia,48,32,1976,2023,FALSE,FALSE,NA
128024,Cytheropteron nodosoalatum,Arthropoda,Ostracoda,34,32,NA,NA,FALSE,FALSE,not available
507661,Globivenus strigillina,Mollusca,Bivalvia,41,32,1949,2014,FALSE,FALSE,NA
328914,Lumbrineriopsis gardineri,Annelida,Polychaeta,39,32,1963,2011,FALSE,FALSE,NA
145310,Desmarestia viridis,Ochrophyta,Phaeophyceae,199,32,1903,2010,FALSE,FALSE,available
110618,Leucon (Leucon) nasica,Arthropoda,Malacostraca,34,32,1975,2004,FALSE,FALSE,available
574096,Ecrobia truncata,Mollusca,Gastropoda,60,32,1904,1998,FALSE,FALSE,available
291180,Tanacetipathes tanacetum,Cnidaria,Hexacorallia,107,32,1878,2017,FALSE,FALSE,NA
409563,Narella gigas,Cnidaria,Octocorallia,458,31,1971,2015,FALSE,FALSE,NA
155171,Amphicorina armandi,Annelida,Polychaeta,164,31,1975,1977,FALSE,FALSE,available
136336,Neotanais micromopher,Arthropoda,Malacostraca,47,31,1884,1964,FALSE,FALSE,not available
355663,Sinocalanus sinensis,Arthropoda,Copepoda,146,31,2021,2021,FALSE,FALSE,NA
409567,Narella alata,Cnidaria,Octocorallia,148,31,1971,2019,FALSE,FALSE,NA
102059,Unciola leucopis,Arthropoda,Malacostraca,73,31,1955,2015,FALSE,FALSE,available
119077,Leucocryptos marina,Cryptophyta,Cryptophyta incertae sedis,157,31,2005,2023,FALSE,FALSE,available
1649784,Hansarsia difficilis,Arthropoda,Malacostraca,75,31,1892,1997,FALSE,FALSE,not available
102443,Protomedeia fasciata,Arthropoda,Malacostraca,61,31,1954,1982,FALSE,FALSE,available
863033,Lirophora varicosa,Mollusca,Bivalvia,39,31,1951,2019,FALSE,FALSE,NA
130367,Ceratocephale loveni,Annelida,Polychaeta,76,31,1878,2003,FALSE,FALSE,available
106382,Hormiphora cucumis,Ctenophora,Tentaculata,33,31,1976,2022,FALSE,FALSE,available
467486,Retimohnia caelata,Mollusca,Gastropoda,51,31,1884,1989,FALSE,FALSE,available
422997,Ampelisca indentata,Arthropoda,Malacostraca,38,31,1957,2019,FALSE,FALSE,NA
278449,Dascyllus auripinnis,Chordata,Teleostei,996,31,2001,2018,FALSE,FALSE,NA
110244,Protoperidinium pallidum,Myzozoa,Dinophyceae,47,31,1974,2011,FALSE,FALSE,available
